start,end,throughput_mbps,retransmissions
0.0,1.005827,5.212506982059115,1
1.005827,2.011123,2.0861040100651795,0
2.011123,3.122771,1.8865252929103022,2
3.122771,4.150962,0.0,0
4.150962,5.029751,0.0,0
5.029751,6.009329,2.1408728667454597,0
6.009329,7.011103,0.0,0
7.011103,8.006323,0.0,0
8.006323,9.007885,0.0,0
9.007885,10.007101,0.0,1
10.007101,11.003328,0.0,0
11.003328,12.06819,1.969411975135877,0
12.06819,13.046065,0.0,0
13.046065,14.00809,0.0,0
14.00809,15.06062,0.0,0
15.06062,16.022355,0.0,0
16.022355,17.037696,0.0,0
17.037696,18.026984,0.0,0
18.026984,19.156933,0.0,1
19.156933,20.019041,0.0,0
