start,end,throughput_mbps,retransmissions
0.0,1.001064,9.42715404629812,4
1.001064,2.003957,2.091102501025333,2
2.003957,3.002042,2.1011757053072517,0
3.002042,4.001879,2.097493930741106,3
4.001879,5.003027,0.0,0
5.003027,6.017844,2.066532193653351,0
6.017844,7.012838,0.0,0
7.012838,8.002406,2.1192601321434825,0
8.002406,9.016058,0.0,2
9.016058,10.015999,3.1459136359541175,0
10.015999,11.009928,2.1099615162076844,0
11.009928,12.007495,0.0,0
12.007495,13.010788,2.090268667072866,0
13.010788,14.00125,0.0,0
14.00125,15.054882,1.990402681676745,0
15.054882,16.023452,0.0,2
16.023452,17.002417,2.1422134942333946,0
17.002417,18.002194,2.0976197292947347,0
18.002194,19.007732,0.0,0
19.007732,20.014441,2.0831760146010243,2
