start,end,throughput_mbps,retransmissions
0.0,1.001008,133.0350481811757,0
1.001008,2.001033,0.0,17
2.001033,3.001094,74.44435227732681,1042
3.001094,4.001033,53.48063701134197,291
4.001033,5.000966,45.09178895239058,4
5.000966,6.001626,0.0,2
6.001626,7.000975,45.11813999622623,2
7.000975,8.00099,0.0,0
8.00099,9.001019,0.0,0
9.001019,10.001607,0.0,0
10.001607,11.000983,0.0,0
11.000983,12.001044,44.037504164052486,2
12.001044,13.001036,0.0,0
13.001036,14.001091,0.0,0
14.001091,15.001013,0.0,0
15.001013,16.00109,0.0,0
16.00109,17.001856,0.0,4
17.001856,18.001482,45.105638372342256,0
18.001482,19.001064,0.0,0
19.001064,20.001696,0.0,0
